City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,berlevag,70.8578,29.0864,1.97,64,75,4.12,NO,1675043927
85,san quintin,30.4833,-115.95,13.56,73,100,1.78,MX,1675043880
86,puerto ayora,-0.7393,-90.3518,24.75,95,87,1.36,EC,1675043927
87,marfino,55.7028,37.3822,-2.85,86,100,5.0,RU,1675043927
88,kapaa,22.0752,-159.319,23.6,57,100,2.68,US,1675043928
89,yellowknife,62.456,-114.3525,-28.58,69,20,5.66,CA,1675043928
90,westerland,54.9079,8.3033,6.01,87,100,9.26,DE,1675043928
91,chokwe,-24.5333,32.9833,23.45,78,91,4.04,MZ,1675043928
92,lebu,-37.6167,-73.65,16.21,93,50,6.81,CL,1675043929
93,port lincoln,-34.7333,135.8667,19.41,60,32,5.57,AU,1675043929
94,cairns,-16.9167,145.7667,32.26,95,100,2.06,AU,1675043929
95,qaanaaq,77.484,-69.3632,-24.79,72,37,2.47,GL,1675043930
96,west helena,34.5507,-90.6418,12.82,96,100,3.07,US,1675043930
97,inuvik,68.3499,-133.7218,-19.52,80,40,2.06,CA,1675043930
98,bluff,-46.6,168.3333,16.23,87,100,4.12,NZ,1675043931
99,krasnyy yar,46.5331,48.3456,-8.04,62,98,3.1,RU,1675043931
100,ust-ilimsk,58.0006,102.6619,-13.39,93,100,3.15,RU,1675043931
101,ahipara,-35.1667,173.1667,18.93,94,100,6.32,NZ,1675043933
102,santa fe,-31.6333,-60.7,27.78,55,100,1.79,AR,1675043933
103,longyearbyen,78.2186,15.6401,-4.09,68,100,10.8,SJ,1675043641
104,avarua,-21.2078,-159.775,23.03,94,100,4.63,CK,1675043933
105,woodburn,45.1437,-122.8554,1.17,40,0,3.54,US,1675043934
106,bethel,41.3712,-73.414,8.2,72,100,3.14,US,1675043801
107,ancud,-41.8697,-73.8203,16.08,92,47,2.1,CL,1675043934
108,klyuchi,52.2667,79.1667,-19.03,99,69,3.32,RU,1675043934
109,pindiga,9.9833,10.9333,25.05,31,99,2.09,NG,1675043935
110,new norfolk,-42.7826,147.0587,25.4,31,0,0.88,AU,1675043935
111,serebryansk,49.6925,83.2892,-20.02,92,18,1.59,KZ,1675043936
112,chuy,-33.6971,-53.4616,21.44,83,44,3.93,UY,1675043937
113,guerrero negro,27.9769,-114.0611,14.3,69,0,3.82,MX,1675043938
114,kungurtug,50.5994,97.5228,-19.0,92,100,0.89,RU,1675043938
115,maxixe,-23.8597,35.3472,24.6,86,69,5.15,MZ,1675043938
116,naze,28.3667,129.4833,12.51,52,39,5.93,JP,1675043939
117,vangaindrano,-23.35,47.6,24.2,84,16,0.82,MG,1675043942
118,mahibadhoo,3.7833,72.9667,26.68,74,66,3.43,MV,1675043942
119,shenkursk,62.1091,42.896,-6.92,93,100,4.72,RU,1675043943
120,norman wells,65.282,-126.8329,-8.98,73,75,4.63,CA,1675043945
121,zarand,30.8127,56.564,4.73,49,4,2.42,IR,1675043946
122,honningsvag,70.9821,25.9704,-1.14,86,100,1.54,NO,1675043948
123,mana,5.6592,-53.7767,23.94,88,47,2.8,GF,1675043949
124,maragogi,-9.0122,-35.2225,25.16,78,7,3.71,BR,1675043950
125,havre-saint-pierre,50.2334,-63.5986,-13.0,66,100,6.17,CA,1675043951
126,darhan,49.4867,105.9228,-17.03,91,100,1.71,MN,1675043951
127,uppsala,60.0,17.75,4.73,93,100,5.66,SE,1675043953
128,arraial do cabo,-22.9661,-42.0278,24.83,90,79,10.7,BR,1675043954
129,lao cai,22.4833,103.95,16.24,55,1,0.65,VN,1675043955
130,vaitape,-16.5167,-151.75,27.68,71,16,5.11,PF,1675043955
131,le port,-20.9373,55.2919,26.0,82,100,2.9,RE,1675043956
132,xochitepec,18.7833,-99.2333,21.91,30,0,1.79,MX,1675043956
133,bela,25.9333,81.9833,11.49,67,0,1.93,IN,1675043957
134,muros,42.7762,-9.0603,5.61,77,84,4.43,ES,1675043957
135,airai,-8.9266,125.4092,22.72,68,98,0.69,TL,1675043958
136,manggar,-2.8833,108.2667,28.32,72,98,5.2,ID,1675043958
137,novyy urengoy,66.0833,76.6333,-28.69,100,68,2.91,RU,1675043959
138,nador,35.174,-2.9287,10.14,87,100,2.06,MA,1675043960
139,krasnoborsk,61.5598,45.934,-8.82,92,100,3.92,RU,1675043961
140,abu samrah,35.3029,37.1841,7.43,89,11,1.75,SY,1675043961
141,zhigansk,66.7697,123.3711,-43.74,98,85,3.13,RU,1675043962
142,cavan,53.9908,-7.3606,6.8,63,100,5.61,IE,1675043962
143,svetlaya,46.5389,138.3297,-12.14,46,66,1.94,RU,1675043963
144,asbury park,40.2204,-74.0121,9.42,75,100,1.34,US,1675043771
145,georgetown,5.4112,100.3354,27.96,75,20,2.57,MY,1675043756
146,kruisfontein,-34.0033,24.7314,14.94,79,37,1.74,ZA,1675043964
147,marystown,47.1666,-55.1483,-2.44,65,86,3.52,CA,1675043964
148,bristol,41.8334,-71.1662,9.19,72,100,1.34,US,1675043965
149,provideniya,64.3833,-173.3,-0.94,86,100,8.0,RU,1675043966
150,priargunsk,50.3691,119.1012,-29.81,100,79,0.92,RU,1675043966
151,dikson,73.5069,80.5464,-34.21,97,57,1.56,RU,1675043967
152,tasiilaq,65.6145,-37.6368,-13.24,90,100,2.91,GL,1675043968
153,yate,51.5407,-2.4184,9.31,95,99,0.89,GB,1675043969
154,port alfred,-33.5906,26.891,15.1,86,69,4.0,ZA,1675043969
155,ntcheu,-14.8203,34.6359,18.08,95,98,1.03,MW,1675043970
156,palmer,42.1584,-72.3287,7.91,66,100,0.89,US,1675043970
157,kota tinggi,1.7381,103.8999,26.79,79,100,3.42,MY,1675043971
158,maniitsoq,65.4167,-52.9,-5.22,87,100,7.21,GL,1675043971
159,lompoc,34.6391,-120.4579,10.43,87,100,4.47,US,1675043971
